41007016,If any man have ears to hear, let him hear.
41009044,Where their worm dieth not, and the fire is not extinguished.
41009046,Where their worm dieth not, and the fire is not extinguished.
41011026,But if you will not forgive, neither will your Father that is in heaven, forgive you your sins.
41015028,And the scripture was fulfilled, which saith: And with the wicked he was reputed.
